//CoDeSys Mapping Export V1.2
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name;
//Important: change only first, third or fourth column in Excel or add variable name before first ;
;GPIO_61@1;;P8 Pin 26;%QX27.5;GPIOs_P9_P8
;GPIO_62@1;;P8 Pin 21;%QX27.6;GPIOs_P9_P8
;GPIO_63@1;;P8 Pin 20;%QX27.7;GPIOs_P9_P8
;digital outputs 64-95;;;%QD7;GPIOs_P9_P8
;GPIO_64@1;;n/c;%QX28.0;GPIOs_P9_P8
;GPIO_65@1;;P8 Pin 18;%QX28.1;GPIOs_P9_P8
;GPIO_66@1;;P8 Pin 7;%QX28.2;GPIOs_P9_P8
;GPIO_67@1;;P8 Pin 8;%QX28.3;GPIOs_P9_P8
DO18;GPIO_68@1;;P8 Pin 10;%QX28.4;GPIOs_P9_P8
;GPIO_69@1;;P8 Pin 9;%QX28.5;GPIOs_P9_P8
;GPIO_70@1;;P8 Pin 45;%QX28.6;GPIOs_P9_P8
;GPIO_71@1;;P8 Pin 46;%QX28.7;GPIOs_P9_P8
;GPIO_72@1;;P8 Pin 43;%QX29.0;GPIOs_P9_P8
;GPIO_73@1;;P8 Pin 44;%QX29.1;GPIOs_P9_P8
;GPIO_74@1;;P8 Pin 41;%QX29.2;GPIOs_P9_P8
;GPIO_75@1;;P8 Pin 42;%QX29.3;GPIOs_P9_P8
;GPIO_76@1;;P8 Pin 39;%QX29.4;GPIOs_P9_P8
;GPIO_77@1;;P8 Pin 40;%QX29.5;GPIOs_P9_P8
;GPIO_78@1;;P8 Pin 37;%QX29.6;GPIOs_P9_P8
;GPIO_79@1;;P8 Pin 38;%QX29.7;GPIOs_P9_P8
;GPIO_80@1;;P8 Pin 36;%QX30.0;GPIOs_P9_P8
;GPIO_81@1;;P8 Pin 34;%QX30.1;GPIOs_P9_P8
;GPIO_82@1;;n/c;%QX30.2;GPIOs_P9_P8
;GPIO_83@1;;n/c;%QX30.3;GPIOs_P9_P8
;GPIO_84@1;;n/c;%QX30.4;GPIOs_P9_P8
;GPIO_85@1;;n/c;%QX30.5;GPIOs_P9_P8
;GPIO_86@1;;P8 Pin 27;%QX30.6;GPIOs_P9_P8
;GPIO_87@1;;P8 Pin 29;%QX30.7;GPIOs_P9_P8
;GPIO_88@1;;P8 Pin 28;%QX31.0;GPIOs_P9_P8
;GPIO_89@1;;P8 Pin 30;%QX31.1;GPIOs_P9_P8
;GPIO_90@1;;n/c;%QX31.2;GPIOs_P9_P8
;GPIO_91@1;;n/c;%QX31.3;GPIOs_P9_P8
;GPIO_92@1;;n/c;%QX31.4;GPIOs_P9_P8
;GPIO_93@1;;n/c;%QX31.5;GPIOs_P9_P8
;GPIO_94@1;;n/c;%QX31.6;GPIOs_P9_P8
;GPIO_95@1;;n/c;%QX31.7;GPIOs_P9_P8
;digital outputs 96-127;;;%QD8;GPIOs_P9_P8
;GPIO_96@1;;n/c;%QX32.0;GPIOs_P9_P8
;GPIO_97@1;;n/c;%QX32.1;GPIOs_P9_P8
;GPIO_98@1;;n/c;%QX32.2;GPIOs_P9_P8
;GPIO_99@1;;n/c;%QX32.3;GPIOs_P9_P8
;GPIO_100@1;;n/c;%QX32.4;GPIOs_P9_P8
;GPIO_101@1;;n/c;%QX32.5;GPIOs_P9_P8
;GPIO_102@1;;n/c;%QX32.6;GPIOs_P9_P8
;GPIO_103@1;;n/c;%QX32.7;GPIOs_P9_P8
;GPIO_104@1;;n/c;%QX33.0;GPIOs_P9_P8
;GPIO_105@1;;n/c;%QX33.1;GPIOs_P9_P8
;GPIO_106@1;;n/c;%QX33.2;GPIOs_P9_P8
;GPIO_107@1;;n/c;%QX33.3;GPIOs_P9_P8
;GPIO_108@1;;n/c;%QX33.4;GPIOs_P9_P8
;GPIO_109@1;;n/c;%QX33.5;GPIOs_P9_P8
DO15;GPIO_110@1;;P9 Pin 31;%QX33.6;GPIOs_P9_P8
DO13;GPIO_111@1;;P9 Pin 29;%QX33.7;GPIOs_P9_P8
DO14;GPIO_112@1;;P9 Pin 30;%QX34.0;GPIOs_P9_P8
DO12;GPIO_113@1;;P9 Pin 28;%QX34.1;GPIOs_P9_P8
;GPIO_114@1;;n/c;%QX34.2;GPIOs_P9_P8
DO11;GPIO_115@1;;P9 Pin 27;%QX34.3;GPIOs_P9_P8
;GPIO_116@1;;n/c;%QX34.4;GPIOs_P9_P8
DO10;GPIO_117@1;;P9 Pin 25;%QX34.5;GPIOs_P9_P8
